1483751847.483	/rooms	34935	33977	115	409	434	30196	20	173	71	0
1483751847.487	/rooms/9	30925	29864	49	825	187	30539	20	173	71	0
1483751847.487	/rooms/9	30906	29752	46	977	131	30657	20	173	71	0
1483751847.516	/rooms	1955	706	45	1074	130	1614	20	173	71	0
1483751847.516	/rooms/9	2559	589	44	1231	695	1707	20	173	71	0
1483751847.516	/rooms/9	2781	526	43	1982	230	2444	20	173	71	0
1483751847.516	/rooms	2937	521	42	2205	169	2676	20	173	71	0
1483751847.516	/rooms/9	3070	524	41	2345	160	2824	20	173	71	0
1483751847.516	/rooms/9	3176	526	44	2474	132	2957	20	173	71	0
1483751847.518	/rooms	1904	1645	57	7	195	1593	20	173	71	0
1483751847.526	/rooms/9	703	260	128	9	306	14	20	173	71	0
1483751847.529	/rooms/9	1162	436	278	8	440	59	20	173	71	0
1483751847.533	/rooms	381	106	77	7	191	10	20	173	71	0
1483751847.539	/rooms/9	1583	619	467	25	472	76	20	173	71	0
1483751847.544	/rooms/9	1172	524	229	38	381	92	20	173	71	0
1483751847.550	/rooms	788	476	89	6	217	12	20	173	71	0
1483751847.554	/rooms/9	753	377	155	7	214	11	20	173	71	0
1483751847.558	/rooms/9	495	150	96	7	242	12	20	173	71	0
1483751847.565	/rooms	825	400	150	25	250	65	20	173	71	0
1483751847.569	/rooms/9	288	75	56	6	151	8	20	173	71	0
1483751847.574	/rooms/9	764	299	155	9	301	20	20	173	71	0
1483751847.579	/rooms	917	471	159	26	261	77	20	173	71	0
1483751847.583	/rooms/9	300	80	59	6	155	9	20	173	71	0
1483751847.594	/rooms/9	1121	286	126	91	618	175	20	173	71	0
1483751847.594	/rooms	1364	221	74	741	328	874	20	173	71	0
1483751847.599	/rooms/9	421	132	80	6	203	10	20	173	71	0
1483751847.604	/rooms/9	433	134	81	6	212	11	20	173	71	0
1483751847.609	/rooms	800	251	130	9	410	15	20	173	71	0
1483751847.613	/rooms/9	526	189	92	6	239	10	20	173	71	0
1483751847.618	/rooms/9	390	83	137	7	163	9	20	173	71	0
1483751847.624	/rooms	942	513	147	10	272	42	20	173	71	0
1483751847.628	/rooms/9	922	479	190	7	246	69	20	173	71	0
1483751847.635	/rooms/9	523	246	76	6	195	10	20	173	71	0
1483751847.639	/rooms	998	265	256	17	460	24	20	173	71	0
1483751847.643	/rooms/9	995	419	164	10	402	43	20	173	71	0
1483751847.649	/rooms/9	749	384	95	6	264	10	20	173	71	0
1483751847.654	/rooms	1192	460	233	35	464	87	20	173	71	0
1483751847.659	/rooms/9	513	167	92	6	248	10	20	173	71	0
1483751847.664	/rooms/9	670	356	123	26	165	76	20	173	71	0
1483751847.669	/rooms	507	283	57	6	161	9	20	173	71	0
1483751847.674	/rooms/9	667	292	109	7	259	16	20	173	71	0
1483751847.679	/rooms/9	523	177	94	6	246	10	20	173	71	0
1483751847.685	/rooms	697	310	121	23	243	64	20	173	71	0
1483751847.693	/rooms/9	612	157	45	6	404	116	20	173	71	0
1483751847.693	/rooms/9	1005	224	95	497	189	549	20	173	71	0
