1483489926.391	#0	36811	30233	2118	4308	152	34096	23	1384	0	200
1483489926.391	#1	36791	31870	3015	1789	117	33518	25	1317	0	200
1483489926.391	#2	37928	34935	239	2675	79	37481	23	1384	0	200
1483489926.420	#3	11588	6349	92	5108	39	11158	25	1317	0	200
1483489926.421	#4	12570	6150	90	6292	38	12356	23	1384	0	200
1483489926.421	#5	13819	6163	90	7566	0	13648	25	1317	0	200
1483489926.421	#6	15642	6176	90	9259	117	15328	23	1384	0	200
1483489926.421	#7	16986	6187	303	10457	39	16561	25	1317	0	200
1483489926.421	#8	18204	6417	100	11686	1	18022	23	1384	0	200
1483489926.426	#9	14768	1438	101	13194	35	14459	25	1317	0	200
1483489926.431	#10	11448	233	39	11176	0	11228	23	1384	0	200
1483489926.436	#11	8056	510	18	7228	300	7384	25	1317	0	200
1483489926.441	#12	5010	109	15	4810	76	4862	23	1384	0	200
1483489926.446	#13	1676	308	29	1339	0	1498	25	1317	0	200
1483489926.452	#14	1437	48	14	1340	35	1342	23	1384	0	200
1483489926.457	#15	1802	251	43	1508	0	1568	25	1317	0	200
1483489926.462	#16	1454	143	32	1279	0	1309	23	1384	0	200
1483489926.466	#17	1414	51	14	1349	0	1353	25	1317	0	200
1483489926.471	#18	1810	349	52	1374	35	1459	23	1384	0	200
1483489926.476	#19	2424	314	49	1998	63	2069	25	1317	0	200
1483489926.481	#20	1752	69	17	1543	123	1544	23	1384	0	200
1483489926.487	#21	3140	264	43	2752	81	2799	25	1317	0	200
1483489926.491	#22	2108	123	30	1876	79	1875	23	1384	0	200
1483489926.496	#23	2443	333	37	1979	94	1985	25	1317	0	200
1483489926.502	#24	2124	401	61	1662	0	1751	23	1384	0	200
1483489926.506	#25	2085	377	71	1637	0	1718	25	1317	0	200
1483489926.511	#26	2034	309	53	1672	0	1735	23	1384	0	200
1483489926.516	#27	3629	128	30	3397	74	3398	25	1317	0	200
1483489926.521	#28	1604	73	17	1468	46	1467	23	1384	0	200
1483489926.527	#29	1996	284	47	1665	0	1720	25	1317	0	200
1483489926.531	#30	1944	277	46	1569	52	1620	23	1384	0	200
1483489926.536	#31	1867	327	24	1516	0	1601	25	1317	0	200
1483489926.541	#32	2882	387	135	2273	87	2351	23	1384	0	200
1483489926.547	#33	3243	392	56	2726	69	2851	25	1317	0	200
1483489926.551	#34	1491	64	16	1411	0	1417	23	1384	0	200
1483489926.557	#35	2880	123	29	2661	67	2665	25	1317	0	200
